id,еца╓_50
5096,4
5095,4
21538,4
21690,4
21842,4
5282,4
5283,4
21819,4
21820,4
21794,4
21795,4
5434,4
5435,4
21945,4
21946,4
21947,4
21936,4
21935,4
22097,4
22098,4
22099,4
22088,4
22087,4
22132,4
5707,4
5708,4
22393,4
22394,4
22297,4
22298,4
22284,4
22449,4
22450,4
10269,4
26833,4
10435,4
10436,4
10392,4
10372,4
10544,4
10541,4
10542,4
10693,4
10694,4
10872,4
10757,4
10758,4
10890,4
11024,4
11345,4
11346,4
11330,4
11482,4
11478,4
11479,4
11467,4
11631,4
11619,4
11656,4
11657,4
11832,4
11833,4
11808,4
11809,4
11984,4
11985,4
11933,4
11934,4
11965,4
12117,4
12249,4
8314,4
8315,4
8319,4
24576,4
8322,4
8323,4
8472,4
8474,4
8475,4
24889,4
24890,4
8466,4
8467,4
8468,4
8471,4
25024,4
8648,4
25023,4
8620,4
8800,4
8766,4
8767,4
8913,4
25319,4
8946,4
25471,4
9072,4
9106,4
9240,4
9241,4
9228,4
9229,4
9217,4
9218,4
9258,4
9369,4
9370,4
25770,4
9392,4
9393,4
9391,4
9541,4
9542,4
9543,4
9502,4
9503,4
9521,4
9527,4
9693,4
9677,4
9678,4
9679,4
9809,4
9850,4
9851,4
9829,4
9830,4
9831,4
10234,4
10235,4
14408,4
14409,4
14413,4
14414,4
14361,4
14362,4
14363,4
14364,4
14365,4
14366,4
14358,4
14559,4
14540,4
14541,4
14560,4
14561,4
14513,4
14514,4
14515,4
14516,4
14517,4
14518,4
14510,4
14664,4
14665,4
14667,4
14663,4
14713,4
14711,4
14813,4
14814,4
14819,4
14820,4
14822,4
14823,4
14969,4
14970,4
14974,4
14975,4
15121,4
15273,4
15275,4
15276,4
15425,4
15576,4
15582,4
15575,4
15728,4
15722,4
15726,4
15727,4
15748,4
15899,4
15900,4
15881,4
15874,4
15876,4
15878,4
15917,4
15918,4
16072,4
16069,4
16071,4
16028,4
16053,4
16054,4
16035,4
16038,4
16039,4
16220,4
16221,4
16204,4
16205,4
16206,4
16187,4
16188,4
16347,4
16348,4
16371,4
16372,4
16373,4
16356,4
16357,4
12400,4
12401,4
12399,4
12530,4
12531,4
12434,4
12435,4
12552,4
12551,4
12586,4
12587,4
12703,4
12862,4
12863,4
12851,4
12852,4
13013,4
13179,4
13180,4
13165,4
13302,4
13322,4
13323,4
13314,4
13315,4
13453,4
13454,4
13472,4
13473,4
13474,4
13475,4
13624,4
13625,4
13610,4
13604,4
13605,4
13776,4
13775,4
13761,4
13762,4
13763,4
13764,4
13765,4
13756,4
13757,4
13758,4
13912,4
13910,4
13920,4
13921,4
14072,4
14073,4
14057,4
14061,4
14062,4
14209,4
14261,4
14262,4
18503,4
18472,4
18473,4
18655,4
18619,4
18620,4
18600,4
18778,4
18771,4
18772,4
18724,4
19027,4
18958,4
19179,4
2811,4
2812,4
19102,4
19115,4
19110,4
19270,4
19226,4
19227,4
19254,4
19255,4
19242,4
19243,4
19394,4
19395,4
19570,4
19573,4
19631,4
19784,4
19785,4
19783,4
19956,4
19938,4
19939,4
19865,4
19876,4
20090,4
20091,4
20027,4
20028,4
20018,4
20019,4
20179,4
20173,4
20141,4
20142,4
20293,4
20294,4
20253,4
20260,4
20441,4
20442,4
20412,4
20405,4
16498,4
16499,4
16536,4
16539,4
16540,4
16669,4
16841,4
16843,4
16844,4
16796,4
16797,4
16821,4
16974,4
16993,4
16947,4
16948,4
16949,4
17126,4
17127,4
17067,4
17056,4
17247,4
17278,4
17279,4
17208,4
17368,4
17367,4
17384,4
17283,4
17284,4
17520,4
17519,4
17438,4
17439,4
17430,4
17536,4
17592,4
17590,4
17591,4
17897,4
17901,4
17902,4
17832,4
17833,4
18034,4
18035,4
18117,4
18118,4
18150,4
18151,4
18302,4
18303,4
18192,4
18193,4
18190,4
18191,4
18313,4
18314,4
18311,4
18347,4
22601,4
22602,4
22584,4
22749,4
22750,4
22736,4
22737,4
22904,4
6486,4
6487,4
22901,4
22902,4
6642,4
6643,4
6633,4
6634,4
6635,4
6638,4
6639,4
23056,4
23061,4
23055,4
6785,4
6786,4
6787,4
6790,4
6939,4
6940,4
23511,4
7091,4
7092,4
23656,4
23657,4
7394,4
23836,4
23837,4
23808,4
23809,4
23961,4
23962,4
23988,4
23989,4
24121,4
24280,4
24273,4
24274,4
24275,4
24276,4
7863,4
7843,4
8020,4
24432,4
24425,4
24426,4
8015,4
24419,4
24420,4
7995,4
7996,4
8153,4
8154,4
24571,4
24572,4
8171,4
8172,4
20593,4
20594,4
20610,4
20611,4
20854,4
20855,4
20930,4
21082,4
21083,4
21084,4
21006,4
21007,4
21029,4
21030,4
21209,4
21185,4
21235,4
21236,4
21145,4
21146,4
21181,4
21182,4
4792,4
4791,4
4952,4
4944,4
21361,4
4951,4
4943,4
